business_name,immediate_categories,parent_categories,price
Playa Cabana - Hacienda,Mexican,Restaurants,$$
The Beet,"Organic Stores, Breakfast & Brunch, Juice Bars & Smoothies","Restaurants,Food",$$
FK,French,Restaurants,
Big Beef Bowl Hand-Pulled Noodle,"Noodles, Chinese",Restaurants,$
AAA Bar,"Pubs, Barbeque","Restaurants,Bars",$$
Blue Banana Market,"Gift Shops, Cards & Stationery, Jewelry","Flowers & Gifts,Shopping,Event Planning & Services,Arts & Crafts",$$
Maman,"Coffee & Tea, Bakeries",Food,$$
High Park,"Playgrounds, Zoos, Parks",Active Life,
Batch,Breweries,Food,$$
Reposado Bar & Lounge,"Tapas/Small Plates, Cocktail Bars, Music Venues","Restaurants,Nightlife,Arts & Entertainment,Bars",$$
Bloomer's,"Vegan, Cafes, Bakeries","Food,Restaurants",$$
Golden Bubbles,"Ice Cream & Frozen Yogurt, Waffles","Restaurants,Food",$
Icha Tea,"Desserts, Coffee & Tea",Food,$$
Sushi House,Japanese,Restaurants,$$
de Mello Palheta,"Desserts, Coffee & Tea, Bakeries",Food,$$
Summer's Ice Cream,"Ice Cream & Frozen Yogurt, Desserts",Food,$$
VIPS Sushi,"Japanese, Sushi Bars",Restaurants,$$
Otto's Bierhalle,German,Restaurants,$$
Koyoi Restaurant & Bar,"Japanese, Bars","Restaurants,Nightlife",$$
Rogers Communications,"Mobile Phones, Television Service Providers, Internet Service Providers","Home Services,Shopping,Professional Services",$$$$
Sushi Supreme,"Japanese, Sushi Bars",Restaurants,$$
Beck Taxi,Taxis,Transportation,
TrueTrue,Pizza,Restaurants,$$
Wheat Sheaf Tavern,Pubs,Bars,$$
Toma Burger Addiction,"Canadian (New), Burgers, American (Traditional)",Restaurants,$$
Pi Co,"Salad, Pizza, Gluten-Free",Restaurants,$$
Fusaro's Kitchen,"Pizza, Italian",Restaurants,$$
Danforth Pizza House,Pizza,Restaurants,$$
Bapbo Korean Restaurant,Korean,Restaurants,$$
Kathmandu Restaurant,"Indian, Himalayan/Nepalese",Restaurants,$$
STK Toronto,"Steakhouses, Lounges, Cocktail Bars","Restaurants,Bars",$$$$
Rawlicious,"Salad, Desserts, Juice Bars & Smoothies","Food,Restaurants",$$
Barrio Cerveceria,"Mexican, Bars","Restaurants,Nightlife",$$
Kawa Sushi,"Japanese, Sushi Bars",Restaurants,$$
Marinellas Italian Restaurant,Italian,Restaurants,$$$
JOEY Sherway,"Canadian (New), Lounges","Restaurants,Bars",$$
La Diperie,Ice Cream & Frozen Yogurt,Food,$
Dal Moro's Fresh Pasta To Go,Italian,Restaurants,$$
The Pilot Tavern,Bars,Nightlife,$$
Mabel's Bakery,Bakeries,Food,$$
Kayagum,Korean,Restaurants,$$
Dear & Fro,"Ice Cream & Frozen Yogurt, Desserts",Food,$$
Pogue Mahone Pub & Kitchen,Pubs,Bars,$$
TOCA,"Breakfast & Brunch, Dinner Theater, Italian",Restaurants,$$$$
No Bull Burgers,Burgers,Restaurants,$$
Value Village,"Community Service/Non-Profit, Thrift Stores","Local Services,Shopping",$
La Palma,Italian,Restaurants,$$$
L3 Digital Print and Copy,"Printing Services, Signmaking","Local Services,Professional Services",
The Porch Toronto,"Lounges, American (Traditional)","Restaurants,Bars",$$
Harry's Char Broil & Dining Lounge,"Breakfast & Brunch, Burgers, Diners",Restaurants,$$
Demen Bistro,"Vietnamese, Bars","Restaurants,Nightlife",
Victory Cafe,Cafes,Restaurants,$$
Our Spot,"Breakfast & Brunch, Coffee & Tea","Restaurants,Food",$
Betty's,"Pubs, American (Traditional), Dive Bars","Restaurants,Bars",$$
Globe Bistro,Canadian (New),Restaurants,$$$
Nom Nom Nom Poutine,Poutineries,Restaurants,$
ND Sushi & Grill,Sushi Bars,Restaurants,$$
Nimman Thai Cuisine,Thai,Restaurants,$$
Ginger Restaurant,Vietnamese,Restaurants,$
Little Coxwell Vietnamese & Thai Cuisine,"Thai, Vietnamese",Restaurants,$$
Mustafa Turkish Pizza,Turkish,Restaurants,$$
Thrive Organic Kitchen & Café,"Vegan, Juice Bars & Smoothies, Vegetarian","Restaurants,Food",$$
Pho Vistro,Vietnamese,Restaurants,$$
Escape Games Canada,Escape Games,Active Life,
Sandwich Box,Sandwiches,Restaurants,$$
The Office Pub,"Pubs, American (Traditional), Sports Bars","Restaurants,Bars",$$
Gabby's Grill and Taps,"Canadian (New), Seafood, Bars","Restaurants,Nightlife",
The Lockhart,Bars,Nightlife,$$
Green Room,Dive Bars,Bars,$
Granite Brewery & Restaurant,"Pubs, American (Traditional), Breweries","Food,Restaurants,Bars",$$
Union Chicken,Chicken Shop,Restaurants,$$
HotBlack Coffee,"Breakfast & Brunch, Cafes, Coffee & Tea","Food,Restaurants",$$
Mermaid Fish and Grill House,"Fish & Chips, Mediterranean, Seafood",Restaurants,$$
Her Father's Cider Bar & Kitchen,"Canadian (New), Bars, Gastropubs","Restaurants,Nightlife",$$
Michael's on Simcoe,"Steakhouses, Seafood, Italian",Restaurants,$$$$
Thai Country Kitchen,"Thai, Noodles",Restaurants,$
Bombay Street Food,"Indian, Salad, Vegetarian",Restaurants,$$
Thompson Toronto,Hotels,"Event Planning & Services,Hotels & Travel",$$$
Sanagan's Meat Locker,Meat Shops,Specialty Food,$$
Swan Restaurant,"Comfort Food, Wine Bars, Diners","Restaurants,Bars",$$
Cora's Breakfast and Lunch,"Breakfast & Brunch, Canadian (New)",Restaurants,$$
Seefu Hair Spadina,Hair Salons,Beauty & Spas,$$
King Palace,"Pakistani, Indian",Restaurants,$$
The Emerson,Canadian (New),Restaurants,$$$
Satay Sate,Indonesian,Restaurants,$$
Little Anthony's,"Italian, Bars","Restaurants,Nightlife",$$
Saffron Spice Kitchen,"Indian, Soup, Sandwiches",Restaurants,$
The George Street Diner,"Breakfast & Brunch, Diners",Restaurants,$$
Pizzeria Defina,"Pizza, Italian",Restaurants,$$
Thoroughbred Food & Drink,"Canadian (New), Bars","Restaurants,Nightlife",$$$
Sushi Couture,"Japanese, Sushi Bars",Restaurants,$$
Butter Chicken Roti,Indian,Restaurants,$$
Chubby's Jamaican Kitchen,Caribbean,Restaurants,$$
Bunner's,"Vegan, Bakeries, Gluten-Free","Restaurants,Food",$$
Alexandros,Greek,Restaurants,$
Hanoi 3 Seasons,Vietnamese,Restaurants,$$
Market Street Catch,Seafood,Restaurants,$$
Bodega Restaurant,"French, Venues & Event Spaces, Bars","Restaurants,Nightlife,Event Planning & Services",$$$
Rosewater Spa of Oakville,"Massage, Skin Care, Day Spas",Beauty & Spas,$$$$
Over Easy Restaurant,Breakfast & Brunch,Restaurants,$$
Reds Wine Tavern,"Wine Bars, Venues & Event Spaces, Argentine","Restaurants,Event Planning & Services,Bars",$$$
z-teca Gourmet Burritos,"Mexican, Tex-Mex",Restaurants,$
Duke of York,Pubs,Bars,$$
Takht-e Tavoos,Persian/Iranian,Restaurants,$$
PG Clucks,Sandwiches,Restaurants,$
Three Speed,Bars,Nightlife,$$
Boom Breakfast & Co,Breakfast & Brunch,Restaurants,$$
Disgraceland,Pubs,Bars,$$
Real Fruit Bubble Tea,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies",Food,$
L'Unita Enoteca,Italian,Restaurants,$$$
The Original Gyro Grill,"Greek, Fast Food",Restaurants,$
Thai Fantasy,Thai,Restaurants,$$
Louis Cifer Brew Works,Brewpubs,Breweries,$$
Harbourfront Centre,"Performing Arts, Venues & Event Spaces","Arts & Entertainment,Event Planning & Services",
Goldstone Noodle Restaurant,"Noodles, Chinese",Restaurants,$
The Ten Spot - Queen West,"Nail Salons, Skin Care, Waxing","Hair Removal,Beauty & Spas",$$
Aroma Waxing Clinic,"Hair Removal, Day Spas",Beauty & Spas,$$
Simone's Caribbean Restaurant,Caribbean,Restaurants,$$
Kandahar Kabab,"Halal, Afghan",Restaurants,$$
Peoples Eatery,International,Restaurants,$$
Bar Fancy,"Chicken Shop, Bars","Restaurants,Nightlife",$$
Doner Kebab House,"Turkish, Donairs, Fast Food","Restaurants,Food",$
TORCH Pressed Sushi,"Japanese, Sushi Bars",Restaurants,$$
Kind Exchange,"Used, Vintage & Consignment",Fashion,$$
M'Zaar Restaurant,"Mediterranean, Lebanese","Restaurants,Middle Eastern",$
Magic Tailor,Sewing & Alterations,Local Services,
Utsav,"Indian, Food Delivery Services","Food,Restaurants",$$
The Big Carrot,Health Markets,Specialty Food,
Formocha,Coffee & Tea,Food,$
The Keg Steakhouse + Bar - Esplanade,"Steakhouses, Seafood, Bars","Restaurants,Nightlife",$$$
Tokyo Kitchen,Japanese,Restaurants,$$
Mad Mexican,Mexican,Restaurants,$$
Double D's,Pizza,Restaurants,$$
Himalayan Coffee House,Coffee & Tea,Food,$
The Bedford Academy,Pubs,Bars,$$
Nova Era Bakery,"Coffee & Tea, Bakeries",Food,$
Hong Kong Bistro Cafe,"Cafes, Chinese",Restaurants,$
Edulis,"Spanish, French",Restaurants,$$$$
Pho 88 North York,"Thai, Vietnamese, Chinese",Restaurants,$
Home Of Hot Taste,Korean,Restaurants,$$
Kumo Japanese Restaurant,"Thai, Japanese, Sushi Bars",Restaurants,$$
iRepair.ca,Electronics Repair,Local Services,
Hy's Steakhouse & Cocktail Bar,"Steakhouses, Seafood, Cocktail Bars","Restaurants,Bars",$$$$
deKEFIR,"Ice Cream & Frozen Yogurt, Desserts, Juice Bars & Smoothies",Food,$$
Sala Modern Thai Kitchen & Bar,"Thai, Asian Fusion",Restaurants,$$
Paddington's Pump,"Breakfast & Brunch, Sandwiches",Restaurants,$$
Panago Pizza,"Salad, Pizza, Chicken Wings",Restaurants,$$
Five Doors North,Italian,Restaurants,$$$
Bazara Asian Cuisine,"Sushi Bars, Asian Fusion",Restaurants,$$
Avenue Open Kitchen,"Sandwiches, Delis, Diners",Restaurants,$
Café La Gaffe,"Breakfast & Brunch, French",Restaurants,$$
Pho Huong,Vietnamese,Restaurants,$
Blu Ristorante,"Lounges, Italian","Restaurants,Bars",$$$
Buddha's Vegan Foods,"Vegan, Chinese, Vegetarian",Restaurants,$
Mashion Bakery,Bakeries,Food,$
Cafe Neon,"Breakfast & Brunch, Coffee & Tea","Food,Restaurants",$$
Fionn MacCool's Irish Pub,"Gastropubs, Beer, Wine & Spirits, Bars","Food,Nightlife,Restaurants",$$
Maizal,Mexican,Restaurants,$$
The Rebel House,"Pubs, Gastropubs","Restaurants,Bars",$$
Dynasty Chinese Cuisine,Dim Sum,Chinese,$$
Taste of China,"Chinese, Seafood",Restaurants,$$
Kenzo Ramen Bloor,Ramen,Japanese,$$
The Peasant Table,"Breakfast & Brunch, Gastropubs, Italian",Restaurants,$$
LOCAL Leaside,"Breakfast & Brunch, American (Traditional), Gastropubs",Restaurants,$$
Denny's,"Breakfast & Brunch, American (Traditional), Diners",Restaurants,$$
Dark Horse,Pubs,Bars,$$
Village Genius Pub & Grill,Pubs,Bars,$$
Patties Express,"Caribbean, Bakeries","Food,Restaurants",$
Kuni Sushi Ya,Sushi Bars,Restaurants,$$
Northwood,"Cafes, Cocktail Bars","Restaurants,Bars",$$
Impact Kitchen,"Juice Bars & Smoothies, Coffee & Tea, Gluten-Free","Food,Restaurants",$$
The Pour House Pub And Kitchen,"Canadian (New), Pubs","Restaurants,Bars",$$
The Bagel House,Bagels,Food,$
Mr Chu,"Desserts, Korean","Food,Restaurants",$
Honest Love Project,Session Photography,Photographers,
Hyatt Regency Toronto,Hotels,"Event Planning & Services,Hotels & Travel",$$$
Graceful Vegetarian Restaurant,"Vegan, Cantonese, Vegetarian","Restaurants,Chinese",$$
Mandarin Restaurant - Toronto,"Chinese, Buffets, Sushi Bars",Restaurants,$$
Kothur Indian Cuisine,Indian,Restaurants,$$
Noka All You Can Eat Sushi,"Poke, Sushi Bars","Restaurants,Food",
Mama's Boys Burgers,Burgers,Restaurants,$
Si Lom Thai Bistro,"Thai, Noodles, Seafood",Restaurants,$$
Coffee Dak Lak,Coffee & Tea,Food,
Miss Things,"Cocktail Bars, Hawaiian, Asian Fusion","Restaurants,Bars",$$$
Morals Village Hot Pot Downtown,"Hot Pot, Chinese",Restaurants,$$$
3030,"Music Venues, Canadian (New), Bars","Restaurants,Nightlife,Arts & Entertainment",$$
Trattoria Taverniti,"Pizza, Italian",Restaurants,$$
Yonge Sushi,"Japanese, Sushi Bars",Restaurants,$$
Dessert Lady Café,"Breakfast & Brunch, Desserts, Bakeries","Food,Restaurants",
Leslieville Pumps,"Gas Stations, Sandwiches","Restaurants,Automotive",$$
Tango Palace Coffee Company,Coffee & Tea,Food,$
Xawaash,"Middle Eastern, Mediterranean",Restaurants,$$
D-Spot Dessert Cafe & Bistro,"Cafes, Desserts","Food,Restaurants",$$
Onnki Donburi,Japanese,Restaurants,$$
Burro Burrito,Mexican,Restaurants,$
OneZo Tapioca,Bubble Tea,Food,
Lou Dawg's Southern BBQ,Barbeque,Restaurants,$$
Gyubee Japanese Grill - Bloor,"Japanese, Barbeque",Restaurants,$$
Sorn Thai Restaurant,"Thai, Noodles, Salad",Restaurants,$$
Poke Eats,"Poke, Sushi Bars","Restaurants,Food",$$
Pinky's Ca Phe,Vietnamese,Restaurants,$$
Bunner's Bakeshop,"Vegan, Gluten-Free, Bakeries","Food,Restaurants",$$
Mi Taco Taqueria,Mexican,Restaurants,$
The Irv Gastro Pub,"Burgers, Gastropubs",Restaurants,$$
Yours Truly,Cards & Stationery,"Flowers & Gifts,Event Planning & Services,Arts & Crafts",$$
Best Buy,"Electronics, IT Services & Computer Repair, Computers","Local Services,Shopping",$$
FBI PIZZA,"Pizza, Italian",Restaurants,$$
Rudy,"Burgers, Sandwiches, Fast Food",Restaurants,$$
Bond Place Hotel Downtown Toronto,Hotels,"Event Planning & Services,Hotels & Travel",$$
Flo's Diner,"Breakfast & Brunch, Burgers, Diners",Restaurants,$$
Guu Izakaya Toronto,"Tapas Bars, Japanese, Sushi Bars",Restaurants,$$
Rhum Corner,"Cocktail Bars, Salad, Caribbean","Restaurants,Bars",$$
Lone Star Texas Grill,"Steakhouses, Tex-Mex, Burgers",Restaurants,$$
Chippy's Fish & Chips,Seafood,Restaurants,$
Coco Rice Thai Cuisine,"Thai, Vegan",Restaurants,$$
F'Amelia,"Pizza, Italian",Restaurants,$$$
The Reservoir Lounge,"Music Venues, Jazz & Blues","Nightlife,Arts & Entertainment",$$
Fresca Pizza & Pasta,"Pizza, Italian",Restaurants,$
Mira,Peruvian,Restaurants,$$
Naniwa-Taro,Japanese,Restaurants,$
Miss Korea,Korean,Restaurants,$$
Butter Baker,Patisserie/Cake Shop,Food,$$
Pojangmacha Food,"Food Stands, Korean, Fast Food",Restaurants,$
Roll N Bowl,"Japanese, Korean",Restaurants,$$
The UPS Store,"Printing Services, Couriers & Delivery Services, Shipping Centers",Local Services,
Enat Buna  Ethiopian Fusion  Cafe,"Ethiopian, Breakfast & Brunch",Restaurants,$$
Sorry Coffee,Coffee & Tea,Food,$$
Cobs Bread,Bakeries,Food,$$
lbs. Restaurant,"Canadian (New), Steakhouses, Seafood",Restaurants,$$$
Sake Bar Kushi,"Tapas Bars, Japanese, Sushi Bars",Restaurants,$$
New Treasure,"Dim Sum, Asian Fusion","Restaurants,Chinese",$
Paese,Italian,Restaurants,$$$
Jet Fuel Coffee Shop,Coffee & Tea,Food,$
Ezra's Pound,Coffee & Tea,Food,$$
Cosmic Treats,"Breakfast & Brunch, Ice Cream & Frozen Yogurt, Desserts","Food,Restaurants",$$
Beiruti Grand Café,"Cafes, Mediterranean, Lebanese","Restaurants,Middle Eastern",$$
Chiado,"Seafood, Portuguese",Restaurants,$$$$
AllStar Wings & Ribs,"Canadian (New), Sports Bars, Chicken Wings","Restaurants,Bars",$$
Murphy's Law Pub and Kitchen,Pubs,Bars,$$
Mi Mi Restaurant,Vietnamese,Restaurants,$
Cadillac Lounge,"Music Venues, Lounges, Tapas/Small Plates","Restaurants,Nightlife,Arts & Entertainment,Bars",$$
Quesada Burritos & Tacos,Mexican,Restaurants,$
Union Station,"Train Stations, Public Transportation","Transportation,Hotels & Travel",
O'Grady's Restaurant,"Canadian (New), Cocktail Bars, Breakfast & Brunch","Restaurants,Bars",$$
Film Cafe by Eative,"Breakfast & Brunch, Japanese, Coffee & Tea","Restaurants,Food",$
The Only Cafe,Pubs,Bars,$$
Café Pamenar,Coffee & Tea,Food,$$
Country Style Hungarian Restaurant,"Comfort Food, Hungarian",Restaurants,$$
Real Mo-Mo's,"Fish & Chips, Breakfast & Brunch, Canadian (New)",Restaurants,$$
Mamma's Pizza,"Sandwiches, Pizza, Italian",Restaurants,$
Salt Wine Bar,"Wine Bars, Tapas/Small Plates","Restaurants,Bars",$$$
Zara,"Accessories, Men's Clothing, Women's Clothing",Fashion,$$
One Hour Cafeteria,"Tea Rooms, Chinese","Restaurants,Food",$$
The Rectory Café,Cafes,Restaurants,$$
Pizza e Pazzi,"Pizza, Italian",Restaurants,$$
Pablo Cheesetart - King West,"Desserts, Coffee & Tea",Food,
Curry Twist Restaurant,Indian,Restaurants,$$
Drake's Corner Café + Bistro,"Breakfast & Brunch, Canadian (New)",Restaurants,$$
Kiku Japanese Cuisine,"Japanese, Sushi Bars",Restaurants,$$
InterContinental Toronto Centre,"Hotels, Venues & Event Spaces","Event Planning & Services,Hotels & Travel",$$$
Morton's The Steakhouse,Steakhouses,Restaurants,$$$$
Sea Witch Fish and Chips,Fish & Chips,Restaurants,$$
Bar Wellington,"Cafes, Pubs, Bistros","Restaurants,Bars",$$
Indigo Books Music & More,"Books, Mags, Music & Video",Shopping,$$
Local 1794,"Canadian (New), Gastropubs",Restaurants,$$
Bellair Laser Clinic,"Laser Hair Removal, Skin Care, Medical Spas","Health & Medical,Hair Removal,Beauty & Spas",$$$
Thai On Yonge,Thai,Restaurants,$$
Scollard Variety & Deli,"Breakfast & Brunch, Delis, Diners",Restaurants,$$
Bar + Karaoke Lounge,"Bars, Karaoke",Nightlife,$$
King's Tacos,Mexican,Restaurants,$$
Momo San,"Japanese, Cocktail Bars, Sushi Bars","Restaurants,Bars",$$$
Mos Mos,"Cafes, Coffee & Tea","Restaurants,Food",$
Soban Cafe,"Cafes, Desserts","Food,Restaurants",$
Pho Orchid,Vietnamese,Restaurants,$
Hollywood Gelato,Ice Cream & Frozen Yogurt,Food,$$
Sonic Boom,"Bookstores, Music & DVDs, Vinyl Records","Books, Mags, Music & Video",$$
The Host,Indian,Restaurants,$$
Jelly Modern Doughnuts,"Breakfast & Brunch, Donuts","Food,Restaurants",$$
Anh Dao,Vietnamese,Restaurants,$$
Jacksons Burger,Burgers,Restaurants,$
Lazy Daisy's Cafe,"Breakfast & Brunch, Cafes",Restaurants,$$
7 Numbers Restaurant,Italian,Restaurants,$$
Karaikudi,Indian,Restaurants,$$
Kokyo Japanese Restaurant,Japanese,Restaurants,$$
Sweet Lulu,Asian Fusion,Restaurants,$$
Pasha Authentic Turkish Cuisine,"Turkish, Mediterranean",Restaurants,$$
Huh Ga Ne,Korean,Restaurants,$$
Comedy Bar,Comedy Clubs,Nightlife,$
Kost,"Mexican, American (Traditional)",Restaurants,$$$
Communist's Daughter,Bars,Nightlife,$
Delta Hotels by Marriott Toronto,"Hotels, Venues & Event Spaces","Event Planning & Services,Hotels & Travel",$$$
Liberty Noodle,"Japanese, Food Court",Restaurants,$
Hammam Spa,Day Spas,Beauty & Spas,$$$
Real Thailand Restaurant,Thai,Restaurants,$$
Daisy Nails and Spa,Nail Salons,Beauty & Spas,$$
Macho Tex Mex Radio Bar,Mexican,Restaurants,$$
White Squirrel Coffee Shop,Coffee & Tea,Food,$
WAXON Waxbar,"Laser Hair Removal, Waxing",Hair Removal,$$
VIA Panorama Lounge,Transportation,Hotels & Travel,
Kyouka Ramen,Ramen,Japanese,$$
Ha Gow Dim Sum House,Dim Sum,Chinese,$
KABOOM Chicken,"Chicken Shop, Korean, Fast Food",Restaurants,$$
T&T Supermarket,International Grocery,Food,$$
Hair District,"Makeup Artists, Hair Salons",Beauty & Spas,$$
Brock Sandwich,"Soup, Salad, Sandwiches",Restaurants,$$
The One Eighty,"Lounges, American (Traditional)","Restaurants,Bars",$$$
Jessy's Pizza Toronto,Pizza,Restaurants,
Midi Bistro,French,Restaurants,$$
The Wickson Social,"Canadian (New), Cocktail Bars","Restaurants,Bars",$$
Burger Shack,"Hot Dogs, Burgers",Restaurants,$
The Horseshoe Tavern,"Music Venues, Dive Bars","Nightlife,Arts & Entertainment,Bars",$$
Pet Valu,Pet Stores,Pets,
Anu Beauty Spa,"Nail Salons, Hair Removal, Skin Care",Beauty & Spas,$$
The Ritz-Carlton Toronto,"Hotels, Venues & Event Spaces","Event Planning & Services,Hotels & Travel",$$$$
Grace O'Malley's,Pubs,Bars,$$
Hey Noodles,"Noodles, Chinese",Restaurants,$$
Chaban,Korean,Restaurants,$$
QQ Thai Ice Cream,Ice Cream & Frozen Yogurt,Food,$
Bobbie Sue's Mac & Cheese,Comfort Food,Restaurants,$
Wong's Ice Cream & Store,"Ice Cream & Frozen Yogurt, Desserts",Food,$
Greens Vegetarian Restaurant,"Vegan, Chinese, Vegetarian",Restaurants,$$
Yummy B-B-Q,"Korean, Barbeque",Restaurants,
Appletree Medical Centre,Medical Centers,Health & Medical,
Qi Sushi,"Japanese, Sushi Bars",Restaurants,$$
AGO Bistro,Canadian (New),Restaurants,$$$
Rickshaw Bar,"Tapas/Small Plates, Indian",Restaurants,$$
New Sky Restaurant,"Peruvian, Chinese",Restaurants,$$
Tortilla Flats Restaurant,,,
Mamajoun Armenian Pizzeria,"Pizza, Sandwiches",Restaurants,$
Restaurant La Banane,"French, Seafood, Bistros",Restaurants,$$$$
Lotus Garden Hakka Indian Style Chinese,"Indian, Chinese",Restaurants,$
The Tulip,Steakhouses,Restaurants,$$
Yeti Nails & Spa,"Nail Salons, Day Spas",Beauty & Spas,$
Quinn's Steakhouse & Irish Bar,"Irish, Steakhouses",Restaurants,$$$
Millie Patisserie & Creamery,"Ice Cream & Frozen Yogurt, Desserts, Bakeries",Food,$$
Khau Gully,Indian,Restaurants,$$
FUEL+,"Organic Stores, Juice Bars & Smoothies, Coffee & Tea",Food,$$
P.J. O'Brien Irish Pub and Restaurant,Pubs,Bars,$$
Doner King,"Turkish, Poutineries, Donairs","Food,Restaurants",$
Oja Noodles House,"Japanese, Korean",Restaurants,$$
Global Cheese,Cheese Shops,Specialty Food,$$
Aji Sai Plus Resto Lounge,"Japanese, Sushi Bars, Lounges","Restaurants,Bars",$$
Fudao noodle house,"Noodles, Chinese, Fast Food",Restaurants,$$
Optical Thirty 8,"Eyewear & Opticians, Optometrists","Health & Medical,Shopping",$$
The Omni King Edward Hotel,Hotels,"Event Planning & Services,Hotels & Travel",$$$
The Keg Steakhouse & Bar,"Steakhouses, Bars","Restaurants,Nightlife",$$$
Cineplex Cinemas Varsity and VIP,Cinema,Arts & Entertainment,
Coach House Restaurant,Diners,Restaurants,$
Toronto Marriott City Centre Hotel,"Hotels, Venues & Event Spaces","Event Planning & Services,Hotels & Travel",$$$
Duke of Kent,"British, Pubs","Restaurants,Bars",$$
Yang's BBQ Restaurant,Barbeque,Restaurants,$$
Lux Nail Bar,"Nail Salons, Waxing, Eyelash Service","Hair Removal,Beauty & Spas",$$
Yip's Kitchen,"Chinese, Asian Fusion",Restaurants,$$
Xiao Long Bao,Dim Sum,Chinese,$$
Eli's Table,Mediterranean,Restaurants,$
The Big Chill,Ice Cream & Frozen Yogurt,Food,$
Tokyo Grill,Japanese,Restaurants,$$
259 Host,Indian,Restaurants,$$$
Ascari Enoteca,"Bars, Italian","Restaurants,Nightlife",$$$
Honest Weight,"Seafood Markets, Seafood","Restaurants,Specialty Food",$$
Soul Cafe,"Desserts, Coffee & Tea",Food,$$
Nails For You,"Nail Salons, Waxing, Eyelash Service","Hair Removal,Beauty & Spas",$$
Egg Bae,Breakfast & Brunch,Restaurants,$
Rally Sports Bar + Smokehouse,"Barbeque, Smokehouse, Sports Bars","Restaurants,Food,Bars",$$
Tequila Bookworm,"Sandwiches, Bars","Restaurants,Nightlife",$$
Royale Fine Dining Banquet,Dim Sum,Chinese,$$
Darbar Persian Grill,Persian/Iranian,Restaurants,$$
Kellys Landing,"American (Traditional), Sports Bars","Restaurants,Bars",$$
Byblos Uptown,Mediterranean,Restaurants,
Jangwon,"Korean, Barbeque",Restaurants,$$
Guschlbauer,Bakeries,Food,$
Clubhouse Sandwich Shop,Sandwiches,Restaurants,$
Sheherzade Persian Grill And Dizi,Persian/Iranian,Restaurants,$$
Tandem Coffee,Coffee & Tea,Food,$
The Bishop And Belcher,"British, Pubs","Restaurants,Bars",$$
Cafe Belong,Cafes,Restaurants,$$$
Paradise Fine Chinese Dining,Chinese,Restaurants,$$
New Tribe Tattoo + Piercing,"Piercing, Tattoo, Eyebrow Services",Beauty & Spas,$$
Trevor Kitchen & Bar,"Wine Bars, Canadian (New)","Restaurants,Bars",$$$
Miyako Sushi,Sushi Bars,Restaurants,$$
Julia's Esthetics,"Massage, Skin Care, Waxing","Hair Removal,Beauty & Spas",$$
Goods & Provisions,"Gastropubs, Bars","Restaurants,Nightlife",$$
Burger Stomper,"Beer, Wine & Spirits, Burgers, American (Traditional)","Restaurants,Food",$$
Seefu Hair Yorkville,Hair Salons,Beauty & Spas,$$
Bolet's Burrito,Mexican,Restaurants,$
Alleycatz Restaurant Jazz Bar,"Greek, Canadian (New), Bars","Restaurants,Nightlife",$$
Magic Noodle,"Noodles, Chinese, Ramen","Restaurants,Japanese",$$
Ontario Science Centre,Museums,Arts & Entertainment,
Roti Cuisine of India,Indian,Restaurants,$$
Owl of Minerva,Korean,Restaurants,$$
Kamasutra Indian Restaurant & Wine Bar,"Wine Bars, Indian","Restaurants,Bars",$$
Sushi Shop Exchange Tower,Sushi Bars,Restaurants,$$
Thai Princess,Thai,Restaurants,$$
Very Fair,"Dim Sum, Seafood","Restaurants,Chinese",$$
New Orleans Seafood & Steakhouse,"Cajun/Creole, Steakhouses, Seafood",Restaurants,$$$
Butter Chicken Factory,"Indian, Buffets",Restaurants,$$
Dakgogi,"Korean, Bars","Restaurants,Nightlife",$$
Knuckle Sandwich,"Poutineries, Sandwiches",Restaurants,$$
Marcello’s pizzeria,"Pizza, Italian",Restaurants,$$
The Broadview Hotel,Hotels,"Event Planning & Services,Hotels & Travel",$$$
Go Topoki,Korean,Restaurants,$$
Toronto Island,"Beaches, Parks",Active Life,
Dlish Cupcakes,"Desserts, Bakeries",Food,$$
Thai Lime,Thai,Restaurants,$$
Uber,Taxis,Transportation,
P.F. Chang's,"Chinese, Asian Fusion, Gluten-Free",Restaurants,$$
Pho Cuu Long Mien Tay,Vietnamese,Restaurants,$
Harvey's,"American (Traditional), Burgers, Fast Food",Restaurants,$
Crêpes à GoGo Spadina,"French, Cafes",Restaurants,$$
Pancho y Emiliano,Mexican,Restaurants,$$
The Corner Place,Canadian (New),Restaurants,$$
08-Aug,"Japanese, Chinese, Sushi Bars",Restaurants,$$
Mercury Espresso Bar,Coffee & Tea,Food,$
College Falafel,"Middle Eastern, Mediterranean, Sandwiches",Restaurants,$
MCI The Doctor's Office,Medical Centers,Health & Medical,
Cool Runnings Restaurant,Caribbean,Restaurants,$$
Merchants of Green Coffee,Coffee & Tea,Food,$$
7 Numbers Danforth,Italian,Restaurants,$$
Sip Wine Bar,"Wine Bars, Pizza, Italian","Restaurants,Bars",$$
Meow Cat Cafe,Coffee & Tea,Food,$
Phoenix Cafe,"Breakfast & Brunch, Cafes, Chinese",Restaurants,$$
Leenamjang,Korean,Restaurants,$$
City Sightseeing Toronto,Tours,Hotels & Travel,
Urawa Sushi,"Japanese, Sushi Bars",Restaurants,$$
Gourmet Gringos,"Mexican, Food Trucks","Restaurants,Food",$$
